Actor/Actress	Movie	Year
GIAMATTI, PAUL	COSMOPOLIS	2012
GIAMATTI, PAUL	THE IDES OF MARCH	2011
GIAMATTI, PAUL	A FURTHER GESTURE	1997
GIAMATTI, PAUL	LOVE & MERCY	2014
GIAMATTI, PAUL	DUETS	2000
GIAMATTI, PAUL	BEFORE AND AFTER	1996
GIAMATTI, PAUL	MAN ON THE MOON	1999
GIAMATTI, PAUL	THE NEGOTIATOR	1998
GIAMATTI, PAUL	SABRINA	1995
GIAMATTI, PAUL	COLD SOULS	2009
GIAMATTI, PAUL	CRADLE WILL ROCK	1999
GIAMATTI, PAUL	JOHN DIES AT THE END	2012
GIAMATTI, PAUL	THE PENTAGON PAPERS	2003
GIAMATTI, PAUL	IRONCLAD	2011
GIAMATTI, PAUL	ROCK OF AGES	2012
GIAMATTI, PAUL	PLANET OF THE APES	2001
GIAMATTI, PAUL	IF THESE WALLS COULD TALK 2	2000
GIAMATTI, PAUL	PARKLAND	2013
GIAMATTI, PAUL	THE TRUMAN SHOW	1998
GIAMATTI, PAUL	BREATHING ROOM	1996
HOUNSOU, DJIMON	CONSTANTINE	2005
HOUNSOU, DJIMON	BIKER BOYZ	2003
HOUNSOU, DJIMON	LE BOULET	2002
HOUNSOU, DJIMON	LARA CROFT TOMB RAIDER: THE CRADLE OF LIFE	2003
HOUNSOU, DJIMON	FORCES SPÈCIALES	2011
HOUNSOU, DJIMON	BLOOD DIAMOND	2006
HOUNSOU, DJIMON	IN AMERICA	2002
HOUNSOU, DJIMON	GLADIATOR	2000
HOUNSOU, DJIMON	ERAGON	2006
HOUNSOU, DJIMON	HOW TO TRAIN YOUR DRAGON 2	2014
HOUNSOU, DJIMON	ELEPHANT WHITE	2011
HOUNSOU, DJIMON	BEAUTY SHOP	2005
HOUNSOU, DJIMON	THE ISLAND	2005
HOUNSOU, DJIMON	KILLING ZOE	1993
HOUNSOU, DJIMON	PUSH	2009
HOUNSOU, DJIMON	ILL GOTTEN GAINS	1997
HOUNSOU, DJIMON	THE VATICAN TAPES	2015
HOUNSOU, DJIMON	NEVER BACK DOWN	2008
HOUNSOU, DJIMON	AIR	2015
HOUNSOU, DJIMON	DEEP RISING	1998
HOUNSOU, DJIMON	STARGATE	1994
HOUNSOU, DJIMON	AMISTAD	1997
HOUNSOU, DJIMON	THE FOUR FEATHERS	2002
HOUNSOU, DJIMON	BAGGAGE CLAIM	2013
HOUNSOU, DJIMON	GUARDIANS OF THE GALAXY	2014
HOUNSOU, DJIMON	BLUEBERRY	2004
HOUNSOU, DJIMON	SEVENTH SON	2014
HOUNSOU, DJIMON	UNLAWFUL ENTRY	1992
HOUNSOU, DJIMON	THE TEMPEST	2010
KIDMAN, NICOLE	THE RAILWAY MAN	2013
KIDMAN, NICOLE	SHOWBUSINESS: THE ROAD TO BROADWAY	2007
KIDMAN, NICOLE	BATMAN FOREVER	1995
KIDMAN, NICOLE	DOGVILLE	2003
KIDMAN, NICOLE	THE INVASION	2007
KIDMAN, NICOLE	RABBIT HOLE	2010
KIDMAN, NICOLE	AUSTRALIA	2008
KIDMAN, NICOLE	BIRTH	2004
KIDMAN, NICOLE	THE STEPFORD WIVES	2004
KIDMAN, NICOLE	TRESPASS	2011
KIDMAN, NICOLE	BIRTHDAY GIRL	2001
KIDMAN, NICOLE	THE LEADING MAN	1996
KIDMAN, NICOLE	GOD GREW TIRED OF US: THE STORY OF LOST BOYS OF SUDAN	2006
KIDMAN, NICOLE	FLIRTING	1991
KIDMAN, NICOLE	EYES WIDE SHUT	1999
KIDMAN, NICOLE	MALICE	1993
KIDMAN, NICOLE	PRACTICAL MAGIC	1998
KIDMAN, NICOLE	THE GOLDEN COMPASS	2007
KIDMAN, NICOLE	FUR: AN IMAGINARY PORTRAIT OF DIANE ARBUS	2006
KIDMAN, NICOLE	BEWITCHED	2005
KIDMAN, NICOLE	HAPPY FEET	2006
KIDMAN, NICOLE	THE PORTRAIT OF A LADY	1996
KIDMAN, NICOLE	THE OTHERS	2001
KIDMAN, NICOLE	THE PAPERBOY	2012
KIDMAN, NICOLE	BEFORE I GO TO SLEEP	2014
KIDMAN, NICOLE	MARGOT AT THE WEDDING	2007
KIDMAN, NICOLE	JUST GO WITH IT	2011
KIDMAN, NICOLE	THE HUMAN STAIN	2003
KIDMAN, NICOLE	FAR AND AWAY	1992
KIDMAN, NICOLE	NINE	2009
KIDMAN, NICOLE	PANIC ROOM	2002
KIDMAN, NICOLE	THE HOURS	2002
KIDMAN, NICOLE	STOKER	2013
KIDMAN, NICOLE	MY LIFE	1993
KIDMAN, NICOLE	AUGUST	2008
KIDMAN, NICOLE	THE INTERPRETER	2005
KIDMAN, NICOLE	COLD MOUNTAIN	2003
KIDMAN, NICOLE	PADDINGTON	2014
KIDMAN, NICOLE	THE PEACEMAKER	1997
KIDMAN, NICOLE	TO DIE FOR	1995
KIDMAN, NICOLE	BILLY BATHGATE	1991
KIDMAN, NICOLE	MOULIN ROUGE!	2001
KIDMAN, NICOLE	THE QUEEN	2006
KIDMAN, NICOLE	I HAVE NEVER FORGOTTEN YOU: THE LIFE & LEGACY OF SIMON WIESENTHAL	2007
JOHNSON, SCOTT  TRAPPED 2002
JOHNSON, SCOTT  AUSTRALIA 2008
JOHNSON, SCOTT  MIGHTY APHRODITE  1995
JOHNSON, SCOTT  FAKE MOVIE  2016
TRAN, KYLE  HOLLOW MAN  2000
TRAN, KYLE  WHAT JUST HAPPENED  2008
TRAN, KYLE  BEEF  2003  
TRAN, KYLE  FAKE MOVIE 2  2017
WILLIS, BRUCE	RED 2	2013
WILLIS, BRUCE	RUGRATS GO WILD	2003
WILLIS, BRUCE	THE HIP HOP PROJECT	2006
WILLIS, BRUCE	MERCURY RISING	1998
WILLIS, BRUCE	THE STORY OF US	1999
WILLIS, BRUCE	CATCH .44	2011
WILLIS, BRUCE	SHINE A LIGHT	2008
WILLIS, BRUCE	NOBODY'S FOOL	1994
WILLIS, BRUCE	THE PLAYER	1992
WILLIS, BRUCE	WHAT JUST HAPPENED	2008
WILLIS, BRUCE	BILLY BATHGATE	1991
WILLIS, BRUCE	LIVE FREE OR DIE HARD	2007
WILLIS, BRUCE	LAY THE FAVORITE	2012
WILLIS, BRUCE	THE SIXTH SENSE	1999
WILLIS, BRUCE	I'M STILL HERE	2010
WILLIS, BRUCE	THE ASTRONAUT FARMER	2006
WILLIS, BRUCE	PULP FICTION	1994
WILLIS, BRUCE	HUDSON HAWK	1991
WILLIS, BRUCE	COLOR OF NIGHT	1994
WILLIS, BRUCE	BREAKFAST OF CHAMPIONS	1999
WILLIS, BRUCE	ASSASSINATION OF A HIGH SCHOOL PRESIDENT	2008
WILLIS, BRUCE	THE EXPENDABLES 2	2012
WILLIS, BRUCE	SURROGATES	2009
WILLIS, BRUCE	THE COLD LIGHT OF DAY	2012
WILLIS, BRUCE	MOONRISE KINGDOM	2012
WILLIS, BRUCE	FIRE WITH FIRE	2012
WILLIS, BRUCE	FAST FOOD NATION	2006
WILLIS, BRUCE	LOOPER	2012
WILLIS, BRUCE	THE PRINCE	2014
WILLIS, BRUCE	HOSTAGE	2005
WILLIS, BRUCE	G.I. JOE: RETALIATION	2013
WILLIS, BRUCE	THE LAST BOY SCOUT	1991
WILLIS, BRUCE	TWELVE MONKEYS	1995
WILLIS, BRUCE	TEARS OF THE SUN	2003
WILLIS, BRUCE	MY DATE WITH DREW	2004
WILLIS, BRUCE	APOCALYPSE	1998
WILLIS, BRUCE	OVER THE HEDGE	2006
WILLIS, BRUCE	ARMAGEDDON	1998
WILLIS, BRUCE	DEATH BECOMES HER	1992
WILLIS, BRUCE	SETUP	2011
WILLIS, BRUCE	CAPTIVE	2015
WILLIS, BRUCE	NORTH	1994
WILLIS, BRUCE	DIE HARD: WITH A VENGEANCE	1995
WILLIS, BRUCE	GRINDHOUSE	2007
WILLIS, BRUCE	FOUR ROOMS	1995
WILLIS, BRUCE	NANCY DREW	2007
WILLIS, BRUCE	HART'S WAR	2002
WILLIS, BRUCE	SIN CITY	2005
WILLIS, BRUCE	16 BLOCKS	2006
WILLIS, BRUCE	THE JACKAL	1997
WILLIS, BRUCE	OCEAN'S TWELVE	2004
WILLIS, BRUCE	LAST MAN STANDING	1996
WILLIS, BRUCE	A GOOD DAY TO DIE HARD	2013
WILLIS, BRUCE	THE EXPENDABLES	2010
WILLIS, BRUCE	THE FIFTH ELEMENT	1997
WILLIS, BRUCE	MORTAL THOUGHTS	1991
WILLIS, BRUCE	THE WHOLE TEN YARDS	2004
WILLIS, BRUCE	CHARLIE'S ANGELS: FULL THROTTLE	2003
WILLIS, BRUCE	STRIKING DISTANCE	1993
WILLIS, BRUCE	BEAVIS AND BUTT-HEAD DO AMERICA	1996
WILLIS, BRUCE	BANDITS	2001
WILLIS, BRUCE	PERFECT STRANGER	2007
WILLIS, BRUCE	ALPHA DOG	2006
WILLIS, BRUCE	LOADED WEAPON 1	1993
WILLIS, BRUCE	UNBREAKABLE	2000
WILLIS, BRUCE	SIN CITY: A DAME TO KILL FOR	2014
WILLIS, BRUCE	RED	2010
WILLIS, BRUCE	THE BONFIRE OF THE VANITIES	1990
WILLIS, BRUCE	THE SIEGE	1998
WILLIS, BRUCE	COP OUT	2010
WILLIS, BRUCE	LUCKY NUMBER SLEVIN	2006
WILLIS, BRUCE	VICE	2015
WILLIS, BRUCE	THE KID	2000
YE, RAYMOND FAKE MOVIE  2016
YE, RAYMOND FAKE MOVIE 2  2017
YE, RAYMOND GUN 2010
YE, RAYMOND BIRTH 2004
YE, RAYMOND THE PLAYER 1992
YE, RAYMOND TRUMBO 2007
YE, RAYMOND DEAD MAN RUNNING  2009
